ID	GID	Allow	Title	Choice1	Consequence1	GID1	ID1	Allow1	Choice2	Consequence2	GID2	ID2	Allow2	
5045	1		Crumbs!	Stay.	Found!		5043		Run!	Unfit.		5043		
5046	1		Police.	Run.	Full.		1		Surrender.	Jail.		1		
5047	5	yes	Donkey.	Ride.	Stubborn.				Apple?	Crunch.				
5050	5		Bird.	Breadcrumbs.	Chirpy.				Pet.	Flu.		1		
6001	6	yes	Mud.	Jump.	Clear.				Wade.	Stuck.		1		
6002	6	yes	Ghoul.	Fight.	Possessed.		1		Offering.	Pleased.				
6003	6	EXIT	Tower.	Approach.	Sinister.	7	7001		Look.	Tall.		6003		
6004	6	yes	Clouds.	Watch.	Shapes.				Consider.	Sublime.				
6006	6	yes	Puddle.	Splash.	Childhood.				Pass.	Adult.				
6007	6		Friend.	Greet.	Joyous.		6008		Avoid.	Quest!				
6008	6		Conversation.	Feeling?	Tired.		6009		Weather.	Bad.		6010		
6009	6		Exhausted?	Same.	Camaraderie.		6010		Why?	Sad.		6010		
6010	6		Farewell.	Goodbye!	Friend.				Hug.	Bond.				
6013	6	yes	Lights.	Watch.	Hypnotising.		6015		Follow.	Pretty.		6014		
6014	6		Fairies!	Appreciate.	Hypnotised!		6016		Hunt.	Gone.				
6015	6		Lights.	Watch.	Fairies!		6014		Ignore.	Dangerous.		6014		
6016	6		Lights.	Follow.	Swamp.		6017		Follow.	Swamp.		6017		
6017	6		Swamp.	Enter.	Sinking.		6018		Enter.	Sinking.		6018		
6018	6		Neck.	Wait.	Sunken.		1		Wait.	Sunken.		1		
6019	6		Rats.	Feed.	Berries.				Catch.	Plague.		1		
6020	6	yes	Crow.	Talk.	Caw!				Stone.	Bullseye!		6021		
6021	6		Crows!	Run.	Threatening.				Fight.	Swarmed.		1		
6023	6	yes	Scarecrow.	Greet.	Scarecrow.				Hat.	Stylish.				
6026	6	yes	Dirt.	Eat.	Why?		1		Search.	Worms.				
6027	6	yes	Ruins.	Paint.	Graffiti.				Explore.	Ancient.		6028		
6028	6		Stones.	Clamber.	Movement!		6030		Sit.	Peaceful.				
6030	6		Golem.	Run!	Gravel.		1		Fight!	Gravel.		1		
7001	7		Door.	Knock.	Nothing.		7002		Open.	Inside.				
7002	7		Hallway.	Sneak.	Silent.		7003		Walk.	Loud.		7003		
7003	7		Guard.	Attack.	Undead!		7004		Bribe.	Braains!		1		
7004	7		Zombie!	Stab.	Undead!		7005		Run.	Faster.		7007		
7005	7		Zombie!!	Slash.	Undead!		7006		Run.	Faster.		7007		
7006	7		Zombie!!!	Stab?	Eaten.		1		Run.	Faster.		7007		
7007	7		Door.	Push.	Locked.		7008		Pull.	Open.				
7008	7		Zombie!	Slash.	Eaten.		1		Stab.	Eaten.		1		
7009	7	yes	Guard.	Hide.	Hidden.		7010		Attack.	Undead!		7004		
7010	7		Sneeze.	Surpress.	Ouch.				Achoo!	Detected!		7004		
7011	7	yes	Laboratory.	Search.	Warlock?		7012		Disregard.	Unimportant.				
7012	7		Corpse.	Poke.	Dead.		7013		Sniff.	Gross.		7013		
7013	7		Lever.	Pull.	Electricity.		7014		Leave.	Corridor.				
7014	7		Corpse.	Poke.	Alive?!		7004		Avoid.	Spooky.				
7015	7	yes	Library.	Search.	Books.	13			Yawn.	Dull.				
7017	7	yes	Kitchen.	Search.	Soup.				Ignore.	Hungry.				
7018	7	yes	Painting.	Take.	Cumbersome.				Inspect.	Fake.				
7019	7	yes	Stairs.	Up.	Dark.		7020		Back.	Exhausting.			[7019, 7015, 7011]	
7020	7		Stairs.	Continue.	Noises.	8	8001		Down.	Spooky.		7019		
8001	8		Door.	Peek.	Warlock!		8001		Open.	Warlock!				
8002	8	yes	Warlock.	Charge!	Die!		8006		Insult!	Asscake!		8003		
8003	8		Insulted.	Charge!	Asscaaake!		8006		Insult!	Buttsandwich!		8004		
8004	8		Angry.	Charge!	Buttsandwiiich!		8006		Insult!	Cheekpotato!		8006		
8005	8		Fireball!	Oh.	No.		0		Oh.	Damn.		0		
8006	8		Frostbolt!	Dodge.	Roll.		8007		Hug.	Frozen.		1		
8007	8		Warlock.	Stab.	Wounded.		8008		Slash.	Wounded!		8008		
8008	8		Warlock.	Stab.	Dead!		8009		Slash.	Dead.		8009		
8009	8		Victory!	Dance.	Happy.		8009		Leave.	Wait...		8010		
8010	8		Warlock?!	What?	Ressurected.		8005		How?	Magic.		8005		
8011	8		Warlock!	Attack.	Attack!		8012		Threaten.	Laughs.		8011		
8012	8		With?	Sword.	Sharp.		8007		Mace!	Destiny.		8013		
8013	8		Surprised.	Smash.	Pulp.		8014		Slice.	Mace.		8006		
8014	8		Victory!	Mother.	Avenged.		8015		Village.	Saved.		8016		
8015	8		Victory!	Mother.	Avenged.		8015		Village.	Saved.		0		
8016	8		Victory!	Mother.	Avenged.		0		Village.	Saved.		8016		
9000	9	yes	Storm.	Umbrella.	Lightning.	6			Wellies.	Lightning.	6			
10000	10		Alarm.	Wake.	Quest.		10001		Snooze.	Snore.		10000		
10001	10		Home.	Kitchen.	Eggs.		10002		Porch.	Sunny.		10002		
10002	10		Newspaper.	News.	Headline.		10003		Politics.	Boring.		10002		
10003	10		Warlock.	Hero?	Needed!		10006		What?	Evil.		10006		
10006	10		Prepare.	Brave.	Sword.		10007		Cautious.	Sword.		10007		
10007	10		Home.	Stay.	Lazy.		10007		Leave.	Forest.		10008		
10008	10		Acorn.	Plant.	Patience.		10009		Keep.	Memento.		10009	[-11000, 11001]	
10009	10		Traveller.	Rob.	Coins		10012		Wave.	Hello.		10010		
10010	10		Trade.	Stories.	Intriguing.		10012		Food.	Exotic.		10012		
10012	10		Bird.	Feed.	Seed.	11			Sing.	Duet.	11			
10013	10		Boar.	Run!	Trampled.		1		Ride.	Trampled.		1		
11000	11	yes	Squirrel.	Chase.	Slow.	10	10013		Pet.	Fluffy.	10	10013		
11001	11		Squirrel.	Chase.	Slow.	10	10013		Gift.	Acorn.	10	10013		
13000	13	yes	Cookbook.	Inspect.	Handwritten.		13001		Throw.	Hefty.				
13001	13		Cookbook.	Fry.	Burgers.		13002		Stop.	Hungry.				
13002	13		Cookbook.	Boil.	Spaghetti.		13003		Stop.	Hungry.				
13003	13		Cookbook.	Roast.	Brains.		13004		Stop.	Hungry.				
13004	13		Cookbook.	Feed.	Zombies.		13005		Stop.	Spooky.				
13005	13		Cookbook.	Done.	Finished.				Stop.	Disgusting.				
13053	13	yes	Diary.	Read.	Secrets.		13056		Ignore.	Private.				
13055	13		Diary.	Author?	Warlock!		13065		Age?	Decades.		13055		
13056	13		Wife.	Tragic.	Dead.		13057		Stop.	Private.				
13057	13		Desperate.	Magic.	Ressurect.		13058		Stop.	Private.				
13058	13		Experiment.	Risky.	Failed.		13059		Stop.	Private.				
13059	13		Wife.	Transformation.	Zombie.		13060		Stop.	Private.				
13060	13		Child.	Danger.	Orphanage.		13061		Stop.	Private.				
13061	13		Wife.	Help.	Cure?		13062		Stop.	Private.				
13062	13		Experiments.	More.	Anything.		13063		Stop.	Private.				
13063	13		Failure.	Lost.	Madness.		13064		Stop.	Private.				
13064	13		Child.	Years.	Forgotten.		13055		Stop.	Private.				
13065	13		Footsteps!	Hide.	Hidden.		13066		Prepare.	Fight!	8			
13066	13		Warlock.	Observe.	Sits.		13067		Sneak.	Seen!	8			
13067	13		Warlock.	Observe.	Diary.		13068		Sneak.	Seen!	8			
13068	13		Warlock.	Observe.	Cries.		13069		Sneak.	Behind.	8			
13069	13		Warlock.	Approach.	Surprise.		13070		Sneak.	Behind.	8			
13070	13		Warlock.	Examine.	Familiar.		13071		Attack!	Destiny!	8			
13071	13		Warlock.	Father?	Daughter?		0		Attack!	Destiny!	8			
13072	13	yes	Library.	Stay.	Books.			[13072]	Leave.	Dusty.	7			
13073	13	yes	Book.	Inspect.	Adventure.		13074		Throw.	Thunk.				
13074	13		Book.	Read.	Epic.		13075		Discard.	Distraction.				
13075	13		Chicken.	Cross.	Road.		13076		Stop.	Boring.				
13076	13		Book.	Completed.	Perfection.				Finished.	Masterpiece.				
